when,module,battery,15cm,15cm_bias,45cm,45cm_bias,75cm,75cm_bias
2017-05-01T02:49:37.745Z,04,3.1296989917755127,756,-672,1007,-336,1438,340
2017-05-01T07:12:43.162Z,04,3.0109570026397705,866,-392,1005,-331,1256,300
2017-04-27T12:22:50.471Z,04,4.591087341308594,531,-963,1132,-365,567,142
2017-04-27T13:22:54.643Z,04,4.727842807769775,553,-947,1140,-355,566,144
2017-04-27T15:18:17.093Z,04,4.480012893676758,800,-1517,1140,-365,623,161
2017-04-27T15:18:40.905Z,04,4.145683288574219,779,-1484,1141,-378,626,158
2017-05-01T03:18:52.787Z,04,3.086230993270874,756,-655,1006,-340,1412,335
2017-05-01T03:48:07.341Z,04,3.094827651977539,773,-608,1003,-338,1389,333
2017-05-01T04:46:35.754Z,04,3.07768177986145,788,-565,1006,-340,1343,316
2017-05-01T05:15:49.863Z,04,3.060724973678589,790,-566,1003,-322,1324,299
2017-05-01T05:45:03.550Z,04,3.0356369018554688,793,-551,1009,-332,1308,309
2017-05-01T06:43:30.220Z,04,3.0439536571502686,851,-417,1002,-331,1273,302
2017-05-01T07:41:55.615Z,04,3.0356369018554688,886,-329,999,-328,1237,294
2017-05-01T08:11:07.913Z,04,3.002819299697876,904,-300,1001,-326,1228,291
